"Instrument","Qty.","Avg. cost","LTP","Cur. val","P&L","Net chg.","Day chg."
"ASHOKA",605,143.7,171.15,103545.75,16607.05,19.1,-1.01
"COALINDIA",100,351.35,455.6,45560,10425,29.67,-0.1
"ITC",282,440.45,430.1,121288.2,-2918.7,-2.35,-1.56
"ITDCEM",400,239.29,336.15,134460,38745.4,40.48,-0.01
"JAMNAAUTO",270,109.95,135.6,36612,6925.5,23.33,0.97
"MANAPPURAM",230,162.56,195.9,45057,7667.5,20.51,0.36
"SOUTHBANK",500,27.85,28.4,14200,275,1.97,-1.49
"TATAMOTORS",211,638.78,1018.5,214903.5,80120.6,59.44,0.49
"TATASTEEL",400,131.6,163.5,65400,12760,24.24,-1
"VASCONEQ",500,67.36,69.95,34975,1293,3.84,-0.5
